,EEG.AF3,EEG.F7,EEG.F3,EEG.FC5,EEG.T7,EEG.P7,EEG.O1,EEG.O2,EEG.P8,EEG.T8,EEG.FC6,EEG.F4,EEG.F8,EEG.AF4
0,147.6923829999996,113.9741210000002,153.7177729999994,181.6665039999998,143.84619099999964,113.58984400000008,142.05126999999993,156.41015599999992,134.3588869999994,144.3588869999994,158.84619099999964,125.25634799999989,39.102539000000434,131.6665039999998
1,144.61523400000078,107.94873000000007,151.53857400000015,173.46142599999985,141.0258789999998,114.87158199999976,140.89746099999957,151.53857400000015,130.51269500000035,128.58984400000008,151.6665039999998,124.23095699999976,41.025878999999804,128.84619099999964
2,144.48730499999965,104.23095699999976,149.87158199999976,165.6411130000006,140.12841800000024,115.51269500000035,139.87158199999976,146.0258789999998,128.84619099999964,117.30761700000039,146.41015599999992,120.89746099999957,46.153809000000365,129.23095699999976
3,145.76904300000024,103.9741210000002,149.48730499999965,159.10253900000043,141.2822270000006,115.12841800000024,139.3588869999994,143.3334960000002,130.6411130000006,117.56396500000028,144.87158199999976,117.05126999999993,54.87158199999976,131.79492200000004
4,144.7436520000001,104.35888699999941,149.3588869999994,152.94873000000007,141.53857400000015,113.9741210000002,138.84619099999964,143.9741210000002,134.10253900000043,128.0771479999994,145.89746099999957,115.12841800000024,64.48730499999965,133.58984400000008
5,138.84619099999964,102.05126999999993,148.20507799999996,146.0258789999998,137.3076170000004,112.94873000000007,137.56396500000028,145.76904300000024,136.53857400000015,140.89746099999957,147.3076170000004,115.51269500000035,71.53857400000015,132.05126999999993
6,129.3588869999994,96.79492200000004,144.87158199999976,138.20507799999996,128.0771479999994,112.69238299999961,135.38476599999922,146.2822270000006,136.6665039999998,146.79492200000004,146.9228520000006,116.53857400000015,73.84619099999964,126.6665039999998
7,120.0,90.51269500000035,140.0,130.51269500000035,117.69238299999961,113.3334960000002,133.0771479999994,144.61523400000078,135.12841800000024,142.3076170000004,144.23095699999976,116.6665039999998,71.6665039999998,119.74365200000011
8,115.38476599999922,86.79492200000004,135.2563479999999,124.87158199999976,111.53857400000015,114.61523400000078,132.05126999999993,142.56396500000028,133.58984400000008,132.05126999999993,140.89746099999957,115.89746099999957,68.0771479999994,114.48730499999965
9,116.9228520000006,87.43603499999972,132.82031300000017,122.82031300000017,112.82031300000017,116.2822270000006,133.20507799999996,142.82031300000017,133.0771479999994,125.12841800000024,140.0,115.64111300000059,66.9228520000006,113.3334960000002
10,122.43603499999972,91.41015599999992,133.0771479999994,124.35888699999941,120.25634799999989,117.56396500000028,135.51269500000035,146.15380900000036,134.10253900000043,127.69238299999961,143.3334960000002,116.2822270000006,69.48730499999965,115.89746099999957
11,127.43603499999972,95.64111300000059,134.7436520000001,126.9228520000006,128.46142599999985,118.0771479999994,136.53857400000015,150.51269500000035,136.2822270000006,137.6923829999996,150.2563479999999,116.79492200000004,74.10253900000043,119.23095699999976
12,127.94873000000007,96.53857400000015,135.51269500000035,128.84619099999964,131.79492200000004,117.56396500000028,135.2563479999999,152.82031300000017,138.3334960000002,146.41015599999992,157.56396500000028,115.64111300000059,76.53857400000015,120.0
13,123.3334960000002,92.43603499999972,134.10253900000043,129.7436520000001,127.69238299999961,116.41015599999992,132.17968800000017,151.0258789999998,138.84619099999964,146.2822270000006,162.05126999999993,113.0771479999994,74.10253900000043,117.69238299999961
14,116.15380900000036,85.0,131.15380900000036,131.2822270000006,118.3334960000002,115.51269500000035,129.3588869999994,145.38476599999922,136.15380900000036,137.17968800000017,163.20507799999996,110.64111300000059,66.9228520000006,113.84619099999964
15,109.87158199999976,77.43603499999972,128.58984400000008,134.61523400000078,108.9741210000002,115.38476599999922,128.20507799999996,137.82031300000017,129.87158199999976,125.89746099999957,162.6923829999996,110.0,57.43603499999972,110.64111300000059
16,106.79492200000004,72.17968800000017,127.56396500000028,139.7436520000001,103.84619099999964,115.76904300000024,128.3334960000002,130.6411130000006,120.64111300000059,120.76904300000024,162.43603499999972,111.6665039999998,49.23095699999976,109.10253900000043
17,107.56396500000028,69.87158199999976,128.3334960000002,146.15380900000036,102.56396500000028,116.0258789999998,128.7177729999994,126.15380900000036,111.9228520000006,125.38476599999922,163.7177729999994,114.35888699999941,45.64111300000059,109.35888699999941
18,112.17968800000017,70.89746099999957,130.12841800000024,154.87158199999976,102.69238299999961,115.64111300000059,128.58984400000008,126.6665039999998,108.20507799999996,138.0771479999994,167.43603499999972,116.0258789999998,49.48730499999965,112.05126999999993
19,121.41015599999992,76.15380900000036,133.58984400000008,168.20507799999996,103.58984400000008,115.0,128.7177729999994,132.94873000000007,113.3334960000002,154.7436520000001,173.9741210000002,115.89746099999957,60.897460999999566,119.35888699999941
20,136.2822270000006,86.9228520000006,139.48730499999965,187.6923829999996,106.79492200000004,114.61523400000078,130.12841800000024,143.7177729999994,126.53857400000015,171.6665039999998,183.58984400000008,115.38476599999922,77.17968800000017,133.20507799999996
21,155.89746099999957,102.30761700000039,147.82031300000017,211.15380900000036,113.3334960000002,115.0,132.43603499999972,155.38476599999922,142.43603499999972,186.0258789999998,194.87158199999976,116.79492200000004,93.9741210000002,152.82031300000017
22,176.41015599999992,117.05126999999993,156.53857400000015,232.94873000000007,121.53857400000015,116.15380900000036,134.48730499999965,163.58984400000008,153.46142599999985,195.51269500000035,205.38476599999922,120.51269500000035,107.94873000000007,173.7177729999994
23,192.3076170000004,124.61523400000078,161.9228520000006,247.6923829999996,127.30761700000039,117.56396500000028,135.0,165.0,154.61523400000078,198.84619099999964,212.05126999999993,124.87158199999976,117.82031300000017,189.7436520000001
24,200.89746099999957,122.69238299999961,162.6923829999996,254.3588869999994,128.58984400000008,118.46142599999985,133.0771479999994,159.23095699999976,145.76904300000024,196.0258789999998,213.84619099999964,127.56396500000028,124.35888699999941,198.46142599999985
25,204.23095699999976,116.9228520000006,160.6411130000006,257.4360349999997,125.89746099999957,118.58984400000008,130.0,149.48730499999965,131.6665039999998,188.58984400000008,212.56396500000028,127.69238299999961,129.87158199999976,202.3076170000004
26,209.3588869999994,117.56396500000028,159.61523400000078,263.0771479999994,121.79492200000004,117.94873000000007,127.56396500000028,140.76904300000024,119.10253900000043,180.12841800000024,211.2822270000006,126.2822270000006,137.43603499999972,207.43603499999972
27,222.05126999999993,130.89746099999957,162.82031300000017,273.9741210000002,117.43603499999972,117.17968800000017,127.69238299999961,136.6665039999998,113.3334960000002,175.38476599999922,212.6923829999996,125.25634799999989,147.6923829999996,218.46142599999985
28,242.56396500000028,155.6411130000006,169.7436520000001,288.0771479999994,112.30761700000039,116.6665039999998,130.12841800000024,137.17968800000017,114.87158199999976,177.3076170000004,217.3076170000004,126.53857400000015,158.9741210000002,235.76904300000024
29,265.76904300000024,184.10253900000043,177.43603499999972,301.53857400000015,106.6665039999998,116.41015599999992,132.56396500000028,139.87158199999976,120.0,183.9741210000002,222.3076170000004,130.12841800000024,166.79492200000004,254.7436520000001
30,283.7177729999994,208.7177729999994,182.43603499999972,312.6923829999996,101.9228520000006,116.2822270000006,131.79492200000004,141.41015599999992,122.94873000000007,188.9741210000002,223.3334960000002,133.84619099999964,166.6665039999998,269.7436520000001
31,291.9228520000006,227.43603499999972,182.94873000000007,322.6923829999996,99.74365200000011,115.89746099999957,126.9228520000006,140.38476599999922,120.0,186.0258789999998,217.3076170000004,135.76904300000024,156.79492200000004,277.4360349999997
32,291.53857400000015,244.23095699999976,180.76904300000024,333.7177729999994,100.76904300000024,115.38476599999922,119.87158199999976,137.05126999999993,111.53857400000015,172.43603499999972,205.12841800000024,135.2563479999999,140.0,278.9741210000002
33,289.23095699999976,265.3847659999992,179.87158199999976,346.15380900000036,104.48730499999965,115.25634799999989,115.25634799999989,133.7177729999994,101.79492200000004,153.46142599999985,191.79492200000004,133.58984400000008,122.56396500000028,279.23095699999976
34,291.79492200000004,293.84619099999964,183.3334960000002,358.0771479999994,110.76904300000024,115.64111300000059,116.15380900000036,132.43603499999972,96.41015599999992,138.58984400000008,182.82031300000017,132.6923829999996,110.25634799999989,283.20507799999996
35,301.4101559999999,326.0258789999998,190.6411130000006,366.6665039999998,118.58984400000008,116.2822270000006,122.30761700000039,133.7177729999994,97.69238299999961,135.0,181.0258789999998,133.58984400000008,105.0,292.17968800000017
36,314.23095699999976,353.3334960000002,197.94873000000007,370.76904300000024,125.25634799999989,116.6665039999998,129.48730499999965,134.87158199999976,103.0771479999994,141.9228520000006,183.84619099999964,135.51269500000035,103.3334960000002,302.4360349999997
37,322.4360349999997,367.82031300000017,200.2563479999999,370.89746099999957,126.9228520000006,116.15380900000036,132.56396500000028,132.3076170000004,106.53857400000015,151.53857400000015,185.51269500000035,136.6665039999998,97.56396500000028,307.82031300000017
38,320.89746099999957,369.23095699999976,195.6411130000006,368.84619099999964,122.94873000000007,115.12841800000024,129.23095699999976,124.61523400000078,103.3334960000002,154.7436520000001,181.15380900000036,135.76904300000024,82.56396500000028,303.9741210000002
